CCTV11 | 测试失败 | http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV12 | 测试失败 | http://39.135.133.177:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV12 | 测试失败 | http://39.135.133.177:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221225731/index.m3u8
CCTV12 | 测试失败 | http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV12 | 测试失败 | http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225731/index.m3u8
CCTV12 | 测试失败 | http://39.135.133.167:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221225731/index.m3u8
CCTV12 | 测试失败 | http://39.135.133.157:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV12 | 测试失败 | http://39.135.133.167:80/TVOD/88888888/224/3221225669/main.m3u8
CCTV12社会与法 | 测试失败 | http://111.43.126.240:9003/hls/25/index.m3u8
CCTV13 | 测试失败 | http://111.63.117.13:6060/030000001000/CCTV-13/CCTV_13.m3u8
CCTV12 | 0.21 MB/s | http://112.46.85.38:8009/hls/507/index.m3u8
CCTV13 | 测试失败 | http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226571/index.m3u8
CCTV13 | 测试失败 | http://39.135.133.177:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226571/index.m3u8
CCTV13 | 测试失败 | http://39.135.133.177:80/TVOD/88888888/224/3221226125/main.m3u8
CCTV13 | 测试失败 | http://39.135.133.157:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226537/index.m3u8
CCTV13 | 测试失败 | http://39.135.133.177:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV13 | 测试失败 | http://39.135.133.160/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV13 | 3.11 MB/s | http://120.211.62.180:8000/hls/13/index.m3u8
CCTV13 | 测试失败 | http://39.135.133.177:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226537/index.m3u8
CCTV13 | 测试失败 | http://39.135.133.177:80/TVOD/88888888/224/3221226077/main.m3u8
CCTV13 | 测试失败 | http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226011/index.m3u8
CCTV13 | 1.01 MB/s | http://120.211.51.175:8081/hls/13/index.m3u8
CCTV13 | 测试失败 | http://39.135.133.157:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226011/index.m3u8
CCTV13 | 测试失败 | http://39.135.133.177:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226011/index.m3u8
CCTV13 | 测试失败 | http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV13 | 0.13 MB/s | http://112.46.85.38:8009/hls/13/index.m3u8
CCTV13 | 0.08 MB/s | http://112.46.85.60:8009/hls/13/index.m3u8
CCTV14 | 测试失败 | http://111.63.117.13:6060/030000001000/G_CCTV-14/G_CCTV_14.m3u8
CCTV13新闻 | 0.05 MB/s | http://111.43.126.240:9003/hls/26/index.m3u8
CCTV14 | 测试失败 | http://39.135.133.154:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV14 | 测试失败 | http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV14 | 测试失败 | http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225732/index.m3u8
CCTV14 | 测试失败 | http://39.135.133.154:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225732/index.m3u8
CCTV14 | 1.01 MB/s | http://120.211.51.175:8081/hls/14/index.m3u8
CCTV14 | 测试失败 | http://39.135.135.28:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221225732/index.m3u8
CCTV14 | 测试失败 | http://39.135.133.155:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV14 | 测试失败 | http://39.135.133.155/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV14 | 0.98 MB/s | http://taihang.coccc.online:808/hls/14/index.m3u8
CCTV14 | 测试失败 | http://39.135.133.155:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225732/index.m3u8
CCTV14 | 0.53 MB/s | http://120.211.62.180:8000/hls/14/index.m3u8
CCTV14 | 0.15 MB/s | http://112.46.85.60:8009/hls/14/index.m3u8
CCTV15 | 1.51 MB/s | http://120.211.62.180:8000/hls/15/index.m3u8
CCTV15 | 测试失败 | http://111.63.117.13:6060/030000001000/G_CCTV-15/G_CCTV-15.m3u8
CCTV14少儿 | 0.06 MB/s | http://111.43.126.240:9003/hls/27/index.m3u8
CCTV14 | 0.10 MB/s | http://112.46.85.38:8009/hls/14/index.m3u8
CCTV15 | 测试失败 | http://111.63.117.13:6060/030000001000/G_CCTV-15/G_CCTV15.m3u8
CCTV15 | 测试失败 | http://39.135.133.160/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV15 | 测试失败 | http://39.135.133.177:80/wh7f454c46tw3678048063_1995458946/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV15 | 测试失败 | http://39.135.133.177:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225601/index.m3u8
CCTV15 | 0.99 MB/s | http://taihang.coccc.online:808/hls/15/index.m3u8
CCTV15 | 0.09 MB/s | http://112.46.85.60:8009/hls/15/index.m3u8
CCTV15 | 0.09 MB/s | http://112.46.85.38:8009/hls/15/index.m3u8
CCTV16 | 测试失败 | http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV16 | 测试失败 | http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226100/index.m3u8
CCTV15音乐 | 0.05 MB/s | http://111.43.126.240:9003/hls/28/index.m3u8
CCTV16 | 测试失败 | http://39.135.135.28:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226100/index.m3u8
CCTV16 | 测试失败 | http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/1.m3u8
CCTV16 | 测试失败 | http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/1.m3u8
CCTV16 | 测试失败 | http://39.135.133.177:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV16 | 测试失败 | http://39.135.133.177:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/1.m3u8
CCTV16 | 测试失败 | http://39.135.133.177/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV16 | 测试失败 | http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226100/index.m3u8
CCTV16 | 测试失败 | http://39.135.133.167:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226100/index.m3u8
CCTV16 | 测试失败 | http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV16 | 测试失败 | http://39.135.133.177:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226100/index.m3u8
CCTV16 | 测试失败 | http://39.135.133.177:80/TVOD/88888888/224/3221225893/main.m3u8
CCTV17 | 1.85 MB/s | http://120.211.62.180:8000/hls/17/index.m3u8
CCTV16 | 1.01 MB/s | http://120.211.51.175:8081/hls/16/index.m3u8
CCTV16 | 测试失败 | http://39.135.133.177:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226100/index.m3u8
CCTV16 | 0.10 MB/s | http://112.46.85.60:8009/hls/86/index.m3u8
CCTV16 | 0.14 MB/s | http://112.46.85.38:8009/hls/86/index.m3u8
CCTV17 | 测试失败 | http://111.63.117.13:6060/030000001000/G_CCTV-17/G_CCTV17.m3u8
CCTV17 | 测试失败 | http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/1.m3u8
CCTV16奥林匹克 | 测试失败 | http://111.43.126.240:9003/hls/29/index.m3u8
CGTN | 4.73 MB/s | http://120.211.62.180:8000/hls/16/index.m3u8
CCTV17 | 测试失败 | http://39.135.133.139/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV17 | 0.97 MB/s | http://taihang.coccc.online:808/hls/16/index.m3u8
CCTV17 | 1.01 MB/s | http://120.211.51.175:8081/hls/77/index.m3u8
CCTV17 | 测试失败 | http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CGTN1 | 测试失败 | http://111.43.126.240:9003/hls/32/index.m3u8
CCTV17 | 测试失败 | http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225765/index.m3u8
CGTN | 0.07 MB/s | http://112.46.85.60:8009/hls/16/index.m3u8
CCTV17农业 | 测试失败 | http://111.43.126.240:9003/hls/30/index.m3u8
东南卫视 | 测试失败 | http://111.63.117.13:6060/030000001000/DNWS/DNWS.m3u8
东南卫视 | 测试失败 | http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226341/index.m3u8
东南卫视 | 测试失败 | http://39.135.133.167:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226341/index.m3u8
东南卫视 | 测试失败 | http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/1.m3u8
CGTN | 0.09 MB/s | http://112.46.85.38:8009/hls/16/index.m3u8
CGTN2 | 测试失败 | http://111.43.126.240:9003/hls/33/index.m3u8
东南卫视 | 测试失败 | http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226341/index.m3u8
东南卫视 | 测试失败 | http://39.135.133.163/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
东南卫视 | 测试失败 | http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/1.m3u8
东南卫视 | 测试失败 | http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
东南卫视 | 测试失败 | http://39.135.133.167:80/TVOD/88888888/224/3221225950/main.m3u8
东南卫视 | 测试失败 | http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
东南卫视 | 测试失败 | http://39.135.135.28:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226341/index.m3u8
东南卫视 | 0.16 MB/s | http://112.46.85.60:8009/hls/45/index.m3u8
东南卫视 | 1.00 MB/s | http://120.211.51.175:8081/hls/44/index.m3u8
东方卫视 | 测试失败 | http://111.63.117.13:6060/030000001000/G_DONGFANG/G_DONGFANG.m3u8
东南卫视 | 0.08 MB/s | http://112.46.85.38:8009/hls/45/index.m3u8
东方卫视 | 测试失败 | http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226345/index.m3u8
东方卫视 | 测试失败 | http://39.135.133.167:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226345/index.m3u8
东方卫视 | 测试失败 | http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
东南卫视高清 | 测试失败 | http://111.43.126.240:9003/hls/47/index.m3u8
东方卫视 | 测试失败 | http://39.135.135.28:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226345/index.m3u8
东方卫视 | 测试失败 | http://39.135.133.167:80/TVOD/88888888/224/3221225942/main.m3u8
东方卫视 | 0.96 MB/s | http://taihang.coccc.online:808/hls/46/index.m3u8
东方卫视 | 测试失败 | http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226345/index.m3u8
东方卫视 | 测试失败 | http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
东方卫视 | 测试失败 | http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
东方卫视 | 测试失败 | http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
东方卫视 | 测试失败 | http://39.135.133.163/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
东方卫视 | 0.06 MB/s | http://112.46.85.38:8009/hls/31/index.m3u8
云南卫视 | 测试失败 | http://112.46.85.38:8009/hls/56/index.m3u8
东方卫视 | 1.00 MB/s | http://120.211.51.175:8081/hls/42/index.m3u8
东方卫视 | 0.10 MB/s | http://112.46.85.60:8009/hls/31/index.m3u8
云南卫视 | 0.51 MB/s | http://120.211.62.180:8000/hls/39/index.m3u8
内蒙古卫视 | 测试失败 | http://111.43.126.240:9003/hls/63/index.m3u8
云南卫视 | 测试失败 | http://111.63.117.13:6060/030000001000/G_YUNNAN/G_YUNNAN.m3u8
云南卫视 | 测试失败 | http://39.135.133.174/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8
兵团卫视 | 测试失败 | http://39.135.133.181/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226439/index.m3u8
云南卫视 | 0.10 MB/s | http://112.46.85.60:8009/hls/56/index.m3u8
东方卫视高清 | 测试失败 | http://111.43.126.240:9003/hls/39/index.m3u8
内蒙古卫视 | 1.00 MB/s | http://120.211.51.175:8081/hls/50/index.m3u8
内蒙古卫视 | 测试失败 | http://111.63.117.13:6060/030000001000/G_NEIMENGGU/G_NEIMENGGU.m3u8
云南卫视 | 测试失败 | http://111.43.126.240:9003/hls/60/index.m3u8
内蒙古卫视 | 测试失败 | http://39.135.133.134/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8
内蒙古卫视 | 0.08 MB/s | http://112.46.85.60:8009/hls/60/index.m3u8
农林卫视 | 0.07 MB/s | http://112.46.85.60:8009/hls/27/index.m3u8
农林卫视 | 0.15 MB/s | http://112.46.85.38:8009/hls/27/index.m3u8
内蒙古卫视 | 0.11 MB/s | http://112.46.85.38:8009/hls/60/index.m3u8
北京卫视 | 测试失败 | http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
北京卫视 | 测试失败 | http://39.135.133.174:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226450/index.m3u8
北京卫视 | 测试失败 | http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/1.m3u8
北京卫视 | 测试失败 | http://39.135.133.167:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226450/index.m3u8
北京卫视 | 测试失败 | http://39.135.133.174:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
北京卫视 | 测试失败 | http://39.135.135.28:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226450/index.m3u8
北京卫视 | 测试失败 | http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/1.m3u8
北京卫视 | 测试失败 | http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226450/index.m3u8
北京卫视 | 测试失败 | http://39.135.133.167:80/TVOD/88888888/224/3221225931/main.m3u8
北京卫视 | 测试失败 | http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226450/index.m3u8
北京卫视 | 测试失败 | http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
北京卫视 | 1.01 MB/s | http://120.211.51.175:8081/hls/31/index.m3u8
北京卫视 | 0.91 MB/s | http://taihang.coccc.online:808/hls/45/index.m3u8
北京卫视 | 测试失败 | http://39.135.133.174:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226450/index.m3u8
北京卫视 | 测试失败 | http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
北京卫视 | 0.49 MB/s | http://120.211.62.180:8000/hls/35/index.m3u8
北京卫视 | 测试失败 | http://39.135.133.156/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
北京卫视 | 测试失败 | http://39.135.133.177:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
北京卫视 | 0.11 MB/s | http://112.46.85.60:8009/hls/35/index.m3u8
吉林卫视 | 测试失败 | http://111.63.117.13:6060/030000001000/G_JILIN/G_JILIN.m3u8
北京卫视高清 | 0.05 MB/s | http://111.43.126.240:9003/hls/41/index.m3u8
吉林卫视 | 测试失败 | http://39.135.133.157:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226397/index.m3u8
吉林卫视 | 测试失败 | http://39.135.135.28:80/ottrrs.hl.chinamobile.com/yinhe/88888888/8/3221226397/index.m3u8
吉林卫视 | 测试失败 | http://39.135.133.177:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226397/index.m3u8
吉林卫视 | 测试失败 | http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226397/index.m3u8
吉林卫视 | 测试失败 | http://39.135.133.157:80/ottrrs.hl.chinamobile.com/yinhe/88888888/8/3221226397/index.m3u8
吉林卫视 | 测试失败 | http://39.135.133.157:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226397/index.m3u8
吉林卫视 | 测试失败 | http://39.135.133.133/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
吉林卫视 | 测试失败 | http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
吉林卫视 | 测试失败 | http://39.135.133.177:80/ottrrs.hl.chinamobile.com/yinhe/88888888/8/3221226397/index.m3u8
吉林卫视 | 测试失败 | http://39.135.135.28:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226397/index.m3u8
吉林卫视 | 测试失败 | http://39.135.133.177:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
吉林卫视 | 0.09 MB/s | http://112.46.85.38:8009/hls/48/index.m3u8
吉林卫视 | 0.06 MB/s | http://112.46.85.60:8009/hls/48/index.m3u8
吉林卫视高清 | 0.06 MB/s | http://111.43.126.240:9003/hls/45/index.m3u8
四川卫视 | 测试失败 | http://111.63.117.13:6060/030000001000/SCWS/SCWS.m3u8
四川卫视 | 测试失败 | http://39.135.133.177:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
四川卫视 | 测试失败 | http://39.135.133.172/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
四川卫视 | 测试失败 | http://39.135.133.177:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226338/index.m3u8
四川卫视 | 测试失败 | http://39.135.133.157:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
四川卫视 | 测试失败 | http://39.135.133.177:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226338/index.m3u8
四川卫视 | 测试失败 | http://39.135.133.157:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226338/index.m3u8
四川卫视 | 1.00 MB/s | http://120.211.51.175:8081/hls/37/index.m3u8
四川卫视 | 0.72 MB/s | http://120.211.62.180:8000/hls/42/index.m3u8
四川卫视 | 测试失败 | http://39.135.133.157:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226338/index.m3u8
天津卫视 | 1.52 MB/s | http://120.211.62.180:8000/hls/36/index.m3u8
四川卫视 | 0.09 MB/s | http://112.46.85.38:8009/hls/41/index.m3u8
天津卫视 | 测试失败 | http://111.63.117.13:6060/030000001000/TJWS/TJWS.m3u8
四川卫视高清 | 0.05 MB/s | http://111.43.126.240:9003/hls/50/index.m3u8
天津卫视 | 测试失败 | http://39.135.133.157:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
天津卫视 | 测试失败 | http://39.135.133.157:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226459/index.m3u8
天津卫视 | 测试失败 | http://39.135.133.177:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
天津卫视 | 测试失败 | http://39.135.133.157:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226459/index.m3u8
天津卫视 | 测试失败 | http://39.135.133.177:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226459/index.m3u8
天津卫视 | 1.00 MB/s | http://120.211.51.175:8081/hls/32/index.m3u8
天津卫视 | 0.96 MB/s | http://taihang.coccc.online:808/hls/47/index.m3u8
天津卫视 | 测试失败 | http://39.135.133.177:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226459/index.m3u8
天津卫视 | 测试失败 | http://39.135.133.165/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8
天津卫视 | 测试失败 | http://39.135.133.157:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8
天津卫视 | 0.17 MB/s | http://112.46.85.60:8009/hls/44/index.m3u8
天津卫视 | 0.11 MB/s | http://112.46.85.38:8009/hls/44/index.m3u8
宁夏卫视 | 测试失败 | http://111.63.117.13:6060/030000001000/G_NINGXIA/G_NINGXIA.m3u8
宁夏卫视 | 测试失败 | http://39.135.133.167/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8
天津卫视高清 | 0.07 MB/s | http://111.43.126.240:9003/hls/46/index.m3u8
宁夏卫视 | 0.05 MB/s | http://112.46.85.38:8009/hls/52/index.m3u8
安徽卫视 | 测试失败 | http://111.63.117.13:6060/030000001000/AHWS/AHWS.m3u8
宁夏卫视 | 0.12 MB/s | http://112.46.85.60:8009/hls/52/index.m3u8
安徽卫视 | 测试失败 | http://39.135.135.28:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226391/index.m3u8
安徽卫视 | 测试失败 | http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
安徽卫视 | 测试失败 | http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/1.m3u8
安徽卫视 | 测试失败 | http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226391/index.m3u8
安徽卫视 | 测试失败 | http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/1.m3u8
安徽卫视 | 测试失败 | http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226391/index.m3u8
安徽卫视 | 测试失败 | http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
安徽卫视 | 测试失败 | http://39.135.133.167:80/TVOD/88888888/224/3221225925/main.m3u8
安徽卫视 | 1.01 MB/s | http://120.211.51.175:8081/hls/30/index.m3u8
安徽卫视 | 测试失败 | http://39.135.133.161/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
安徽卫视 | 0.59 MB/s | http://120.211.62.180:8000/hls/33/index.m3u8
安徽卫视 | 测试失败 | http://39.135.133.167:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226391/index.m3u8
安徽卫视 | 0.06 MB/s | http://112.46.85.60:8009/hls/42/index.m3u8
安徽卫视 | 0.07 MB/s | http://112.46.85.38:8009/hls/42/index.m3u8
山东卫视 | 测试失败 | http://111.63.117.13:6060/030000001000/SDWS/SDWS.m3u8
山东卫视 | 2.84 MB/s | http://120.211.62.180:8000/hls/38/index.m3u8
山东卫视 | 测试失败 | http://39.135.133.167:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226456/index.m3u8
安徽卫视高清 | 测试失败 | http://111.43.126.240:9003/hls/43/index.m3u8
山东卫视 | 测试失败 | http://39.135.133.174/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
山东卫视 | 测试失败 | http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/1.m3u8
山东卫视 | 测试失败 | http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226456/index.m3u8
山东卫视 | 0.98 MB/s | http://120.211.51.175:8081/hls/34/index.m3u8
山东卫视 | 测试失败 | http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
山东卫视 | 测试失败 | http://112.46.85.38:8009/hls/40/index.m3u8
山西卫视 | 测试失败 | http://111.63.117.13:6060/030000001000/SXWS/SXWS.m3u8
山东卫视 | 0.10 MB/s | http://112.46.85.60:8009/hls/40/index.m3u8
山西卫视 | 1.00 MB/s | http://120.211.51.175:8081/hls/49/index.m3u8
山西卫视 | 测试失败 | http://39.135.133.159/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8
山西卫视 | 1.14 MB/s | http://taihang.coccc.online:808/hls/18/index.m3u8
